geo,TIME_PERIOD,Deuda,Desempleo,Educación Universitaria,Prisioneros Setenciados,Riesgo de Pobreza,Protección Social,Privación de Recursos,Inmigración,Robos,Robos con violencia,Homicidios,Intento de Homicidio,Violencia Sexual,Corrupción
EE,2021,5.7,25.3,36.0,133.38,14.3,4073.23,7.3,19524.0,564.86,9.7,1.35,0.68,29.55,6.54
EL,2017,44.9,65.3,27.2,62.3,14.0,4223.88,64.7,112247.0,860.55,39.66,0.72,1.39,4.21,8.38
EL,2018,43.0,63.2,27.7,67.84,12.5,4263.36,61.1,119489.0,748.07,40.57,0.88,1.15,3.94,6.13
EL,2019,41.4,63.0,27.8,74.59,11.8,4350.43,57.6,129459.0,800.26,40.42,0.71,1.09,2.83,5.73
EL,2020,36.9,59.7,28.5,81.4,11.8,4549.94,55.6,84221.0,568.61,23.71,0.68,1.2,1.79,5.66
EL,2021,36.4,62.3,30.1,78.72,12.5,4649.67,57.5,57120.0,551.92,22.5,0.83,1.42,3.0,7.09
ES,2016,10.6,48.4,32.7,109.79,14.8,5713.95,33.0,414746.0,351.16,135.56,0.63,1.75,18.79,2.46
ES,2017,9.3,44.5,33.2,106.87,14.7,5842.74,28.4,532132.0,349.09,132.74,0.66,1.76,20.34,2.42
ES,2018,9.4,41.7,34.0,104.87,14.0,6065.66,30.1,643684.0,360.5,129.23,0.62,1.78,24.89,2.09
ES,2019,8.1,37.8,35.1,102.98,15.1,6371.47,28.8,750480.0,374.65,140.35,0.71,1.78,27.76,1.88
ES,2020,13.5,32.1,36.0,96.99,17.7,7100.42,36.0,467918.0,220.82,95.63,0.63,2.07,23.48,1.61
ES,2021,14.3,41.7,36.5,95.95,12.5,7237.11,33.8,528856.0,262.25,111.97,0.61,2.18,31.47,2.18
FI,2016,10.9,32.1,35.9,46.51,6.0,12524.69,8.3,34905.0,2309.58,30.43,1.75,5.67,58.1,66.83
FI,2017,10.8,30.2,36.4,44.83,6.0,12543.06,9.1,31797.0,2201.92,29.8,1.34,6.32,55.49,64.78
FI,2018,10.7,27.2,37.3,44.02,5.2,12732.95,12.5,31106.0,2143.85,30.84,1.72,6.44,64.16,69.76
FI,2019,10.5,21.9,38.5,41.92,7.6,13060.86,9.8,32758.0,2224.23,32.71,1.5,5.96,72.65,71.77
FI,2020,10.0,19.1,39.8,38.1,7.6,13724.6,10.6,32898.0,2440.25,36.11,1.72,6.93,73.52,73.14
FI,2021,8.2,23.5,35.5,40.04,6.7,14111.59,8.7,36364.0,2242.66,34.19,1.7,6.76,90.64,66.86
FR,2016,8.8,31.3,30.9,73.3,8.0,11477.87,23.4,377709.0,2251.41,130.73,1.17,3.57,53.22,3.01
FR,2017,9.1,31.1,31.4,73.59,7.9,11675.5,24.1,369621.0,2228.96,121.17,1.06,3.68,59.41,2.94
FR,2018,9.1,28.2,32.8,74.29,7.8,11861.17,25.1,387158.0,2170.64,109.31,1.04,3.97,70.83,3.52
FR,2019,8.4,26.8,33.8,78.02,8.0,12085.23,27.3,385591.0,2194.61,105.54,1.12,4.36,80.85,3.56
FR,2020,9.1,24.1,35.3,66.17,8.6,13037.71,29.5,283237.0,1744.79,86.45,1.03,4.9,83.74,3.4
FR,2021,10.1,29.5,36.3,75.07,8.7,13222.98,25.1,336398.0,1786.35,82.96,1.08,5.03,109.71,4.04
HR,2016,26.4,50.7,20.0,62.33,14.5,2443.44,19.5,13985.0,303.98,25.49,1.05,2.22,17.11,21.6
HR,2017,21.9,41.0,20.6,53.78,15.2,2567.64,17.4,15553.0,298.81,20.8,1.11,3.01,11.92,18.32
HR,2018,18.6,40.2,22.0,54.05,14.8,2740.64,16.8,26029.0,296.92,18.97,0.58,2.19,14.35,12.54
HR,2019,15.7,35.8,22.0,52.38,14.6,2900.47,12.9,37726.0,291.0,20.56,0.81,2.4,21.05,19.26
HR,2020,14.2,28.1,22.0,52.71,13.1,3009.91,11.5,33414.0,256.72,15.57,0.99,2.66,14.69,13.26
HR,2021,16.6,36.2,21.8,61.24,12.6,3287.79,13.3,35912.0,255.8,14.96,0.82,2.55,22.07,22.59
HU,2016,19.0,46.5,20.6,137.77,7.9,2225.76,30.0,53618.0,952.06,11.23,0.93,0.99,6.1,11.85
HU,2017,15.7,40.4,20.9,136.67,5.8,2359.96,29.8,68070.0,819.95,8.58,0.87,0.73,6.0,13.07
HU,2018,12.8,38.7,21.7,134.32,5.7,2448.37,19.6,82937.0,656.45,7.12,0.85,0.6,5.53,22.89
HU,2019,11.2,32.1,22.5,131.84,5.1,2490.95,20.8,88581.0,582.92,6.48,0.59,0.56,3.94,18.48
HU,2020,11.6,26.3,23.6,127.23,4.3,2588.09,13.5,75470.0,516.31,6.22,0.79,0.94,5.16,24.33
HU,2021,11.2,31.2,25.4,132.49,4.9,2815.35,16.9,80471.0,436.02,5.56,0.69,0.65,4.86,66.96
IE,2017,13.0,44.9,40.4,62.49,9.3,9313.62,15.1,78499.0,1398.78,42.18,0.82,0.27,52.9,0.08
IE,2018,11.2,36.2,40.5,65.65,10.5,9537.64,13.7,97712.0,1334.74,45.11,0.81,0.29,58.09,0.12
IE,2019,11.9,32.1,40.7,65.41,8.8,9908.89,12.8,85630.0,1333.62,41.54,0.67,0.55,58.05,0.1
IE,2020,13.9,23.2,42.8,61.62,10.6,11606.48,15.2,74211.0,982.53,28.26,0.66,0.38,52.01,0.12
IE,2021,13.6,28.5,45.2,59.05,7.1,11743.48,11.7,80732.0,891.23,23.43,0.44,0.32,58.35,0.16
IT,2016,10.7,60.5,15.7,75.33,14.5,8157.06,31.8,300823.0,1867.31,55.09,0.67,1.78,7.44,35.12
IT,2017,6.1,61.0,16.5,79.81,13.9,8278.13,25.8,343440.0,1765.93,51.44,0.62,1.81,8.44,5.9
IT,2018,6.0,61.1,17.1,83.04,15.3,8457.23,23.1,332324.0,1680.73,47.92,0.59,1.74,8.9,5.57
IT,2019,5.9,59.0,17.4,85.96,14.1,8787.56,19.7,332778.0,1541.83,41.5,0.53,1.7,9.03,5.8
IT,2020,6.8,54.3,17.9,75.46,12.8,9599.66,23.3,247526.0,1049.0,34.34,0.48,1.47,8.25,6.32
IT,2021,7.7,56.8,17.8,77.54,12.8,9785.47,24.1,318366.0,1183.42,38.05,0.51,1.57,9.73,6.49
LT,2016,10.7,38.3,34.1,209.24,13.5,2085.11,32.5,20162.0,691.11,46.46,4.92,0.66,7.2,26.35
LT,2017,8.7,37.6,34.8,201.34,16.1,2253.49,31.3,20368.0,598.33,38.2,3.97,0.56,7.94,26.3
LT,2018,10.3,32.2,36.1,203.14,15.6,2573.34,30.8,28914.0,456.87,29.26,3.45,1.1,7.8,19.76
LT,2019,8.2,30.6,37.9,193.69,19.2,2882.83,24.6,40067.0,390.17,23.8,3.01,0.54,6.8,17.72
LT,2020,7.1,29.0,38.7,169.61,16.2,3472.47,15.2,43096.0,338.11,17.14,3.54,0.39,4.51,19.72
LT,2021,6.6,36.7,39.8,161.39,14.3,3724.75,15.0,44858.0,276.71,11.09,2.5,0.21,5.26,22.32
LU,2016,6.6,34.8,36.4,71.69,9.5,19636.22,6.8,22888.0,1727.38,79.65,0.87,12.49,45.64,0.87
LU,2017,3.0,38.1,34.1,64.0,8.6,20466.44,5.7,24379.0,1708.24,76.86,0.34,12.53,39.45,0.17
LU,2020,4.9,25.5,40.9,50.47,7.6,24823.13,6.8,22490.0,1478.66,75.39,0.32,15.33,46.16,0.8
LU,2021,6.6,33.6,44.5,52.31,9.0,24750.59,7.8,25335.0,1717.58,93.74,0.47,10.87,54.83,0.63
LV,2016,14.9,45.5,29.5,150.64,15.2,1933.35,27.4,8345.0,739.99,33.06,5.64,0.71,11.17,14.58
LV,2017,14.0,41.2,30.0,139.17,14.9,2046.41,28.1,9916.0,745.29,30.97,5.59,0.92,13.44,9.49
LV,2018,13.8,45.7,30.1,131.36,15.5,2301.07,23.1,10909.0,726.18,27.61,5.22,1.19,15.25,12.51
LV,2019,9.9,41.8,31.4,128.39,15.5,2494.72,19.8,11223.0,682.88,25.68,4.74,1.56,15.78,18.44
LV,2020,9.7,30.0,33.2,120.25,13.3,2766.14,18.9,8840.0,670.92,22.8,4.88,1.05,16.2,9.54
LV,2021,7.2,30.2,34.2,125.45,16.7,3417.39,13.7,12689.0,417.28,13.89,5.18,1.0,17.69,10.83
ME,2016,37.8,75.7,21.2,130.5,15.6,1188.07,41.5,4904.0,81.32,20.57,3.86,5.63,3.54,12.86
ME,2017,35.0,77.3,20.6,130.14,15.3,1224.7,37.3,6684.0,80.82,18.96,1.77,8.19,3.7,12.21
ME,2018,29.3,75.2,20.3,124.85,14.7,1248.69,39.7,8643.0,70.7,19.76,2.09,5.95,3.7,38.88
ME,2019,34.6,79.0,21.8,116.2,14.7,1311.77,36.0,10737.0,66.38,15.27,3.38,6.75,5.95,27.64
ME,2020,32.1,74.7,21.8,77.03,14.9,1526.06,30.9,6008.0,51.46,7.72,2.57,5.95,4.34,24.76
MT,2016,10.4,50.5,20.3,94.58,10.7,3801.27,9.6,17051.0,2030.6,57.5,1.11,0.22,19.54,1.11
MT,2017,6.5,50.8,22.1,91.25,10.8,3912.34,9.0,21676.0,1793.41,43.88,1.96,1.3,16.95,0.65
MT,2018,8.1,48.1,24.6,93.97,10.9,3963.08,7.3,26444.0,1372.29,43.72,1.26,1.26,19.55,1.68
